gejala,relevance_score,nama_herb,nama_latin,nama_lokal,link_gambar,deskripsi_khasiat,mengatasi_gejala,komposisi,cara_menggunakan
Batuk,"0,7",Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","Rebus 1-2 sendok teh biji adas dalam 1,5 gelas air hingga tersisa sekitar satu gelas. Setelah mendidih, saring air rebusan dan minum selagi hangat. Air rebusan ini dapat diminum 2-3 kali sehari untuk membantu meredakan batuk, karena adas memiliki sifat ekspektoran yang membantu mengencerkan lendir dan melegakan saluran pernapasan."
Sakit tenggorokan,"0,6",Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","Rebus 1-2 sendok teh biji adas dalam segelas air selama 5-10 menit. Setelah itu, saring airnya dan tambahkan sedikit madu untuk meningkatkan rasa. Minum ramuan ini selagi hangat 2-3 kali sehari"
Sariawan,"0,8",Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","Rebus 1-2 sendok teh biji adas dalam segelas air hingga mendidih selama 5-10 menit. Setelah itu, saring air rebusan dan biarkan dingin. Gunakan air ini sebagai obat kumur, berkumur selama 1-2 menit di area sariawan. Lakukan langkah ini 2-3 kali sehari untuk membantu meredakan iritasi dan mempercepat penyembuhan, berkat sifat anti-inflamasi dan antiseptik yang dimiliki adas."
Nyeri haid,"0,9",Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","Rebus 1-2 sendok teh biji adas dalam segelas air selama 10-15 menit. Setelah mendidih, saring air rebusan dan biarkan hangat. Minum ramuan ini dua kali sehari, pagi dan malam, untuk membantu menyeimbangkan hormon dan merangsang siklus menstruasi. Kandungan fitoestrogen dalam adas membantu mengatur keseimbangan hormonal secara alami."
Perut kembung,1,Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","Seduh 1-2 sendok teh biji adas dalam segelas air panas selama 10 menit. Setelah disaring, minum air seduhan ini selagi hangat. Kandungan dalam adas memiliki sifat karminatif yang membantu mengurangi gas berlebih di saluran pencernaan dan memberikan rasa nyaman pada perut."
Mual,"0,9",Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","Rebus 1-2 sendok teh biji adas dalam segelas air selama 10 menit. Setelah mendidih, saring air rebusan dan tambahkan sedikit madu untuk rasa. Minum secara perlahan selagi hangat untuk membantu menenangkan perut dan mengurangi rasa mual."
Pilek,1,Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","rebus 1–2 sendok teh biji adas dalam 250 ml air selama 10–15 menit, kemudian menyaring air rebusan tersebut. Air rebusan diminum selagi hangat untuk membantu meredakan hidung tersumbat, dan uapnya juga bisa dihirup dengan menutupi kepala menggunakan handuk untuk membuka saluran pernapasan."
Diare,"0,7",Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","Untuk diare, rebus 1 sendok teh biji adas dalam dua gelas air hingga tersisa setengahnya. Saring dan minum air rebusan ini dua kali sehari. Adas membantu mengurangi peradangan pada saluran pencernaan dan mengembalikan fungsi normal sistem pencernaan."
Susah tidur,"0,8",Adas,Foeniculum vulgare,"Hades (Sunda, Bali); Adas Londa, Adas Landi (Jawa); Adhas (Madura); Wala Wunga (Sumba); Das Pedas (Aceh); Adeh, Manih (Minangkabau)",https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman rempah yang memiliki aroma khas dan sering digunakan sebagai bumbu dapur maupun obat tradisional. Tanaman ini memiliki daun halus berbentuk panjang dengan biji kecil yang mengandung minyak atsiri. Biasanya tumbuh di daerah beriklim hangat dengan tanah yang subur. Selain digunakan dalam masakan, tanaman ini dipercaya memiliki efek menenangkan. Khasiat utamanya meliputi meredakan perut kembung, memperlancar pencernaan, dan mengatasi gangguan pernapasan ringan.","Batuk
Sesak nafas
Sariawan
Haid tidak teratur
Perut kembung
Mual
ASI sedikit
Diare
Susah tidur","Minyak atsiri (anethole, fenchone, estragole), flavonoid, vitamin C, kalsium, magnesium, serat.","Untuk mengatasi susah tidur, seduh 1 sendok teh biji adas dengan air panas seperti membuat teh. Tambahkan sedikit madu jika diperlukan. Minum seduhan ini 30 menit sebelum tidur untuk membantu tubuh rileks, berkat efek menenangkan dari senyawa alami adas."
Batuk,"0,8",Akar manis,Glycyrrhiza glabra,Kayu Legi (Jawa); Manis Kati (Sumatera); Ote Gula (Aceh); I Lekka (Bugis); Madur (Bali).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu yang sering tumbuh di daerah tropis, dikenal dengan rasa manis yang berasal dari akarnya. Tanaman ini memiliki batang bercabang, daun majemuk, dan bunga kecil yang berwarna biru hingga ungu. Akar tanaman ini kaya akan senyawa glycyrrhizin yang memberikan rasa manis alami dan khasiat medis. Dalam pengobatan tradisional, sering digunakan untuk meredakan radang tenggorokan dan batuk. Tanaman ini juga diketahui memiliki sifat antiinflamasi dan meningkatkan kesehatan sistem imun.","Batuk
Radang Lambung
Nyeri sendi
Susah tidur
Sakit tenggorokan","Glycyrrhizin, flavonoid, saponin, kumarin, sterol, minyak atsiri.",Rebus 1-2 sendok teh akar manis kering dalam 2 gelas air selama 10-15 menit hingga tersisa setengahnya. Saring air rebusan dan minum hangat dua kali sehari. Akar manis membantu meredakan iritasi tenggorokan dan mengurangi lendir berlebih.
